size,result,time_us
44, -9.170463e+15, 13481
42, 1.088700e+15, 11911
72, 1.198986e+34, 55968
99, 6.316658e+53, 143102
68, 1.734703e+31, 47385
50, -7.983072e+19, 19527
57, -4.239606e+22, 28480
41, -9.018875e+14, 11118
99, 2.364490e+53, 143098
9, -1.818510, 257
94, 5.289191e+48, 122798
21, 15825.380009, 1960
8, -0.349435, 191
32, 4.003455e+09, 5543
96, -3.014661e+49, 130503
93, -3.845719e+49, 119012
41, 2.017964e+14, 11149
65, -1.462618e+29, 41670
37, 1.854545e+12, 8358
26, -4045838.256111, 3316
77, -1.269773e+38, 68323
31, -364986305.789755, 5192
7, 1.827433, 154
78, 1.369505e+38, 70861
87, 1.613053e+45, 97747
53, -9.314932e+20, 23053
6, -0.910847, 145
87, 2.099585e+44, 97751
10, 0.319478, 307
15, 295.288829, 636
91, 4.464068e+46, 111564
80, 2.238959e+38, 76279
12, -2.746016, 428
40, 1.007115e+14, 10264
9, 0.427076, 236
93, -2.943005e+49, 118998
12, -1.877340, 431
11, -2.857028, 294
60, 1.129425e+25, 32891
99, 5.375306e+53, 143100
73, -1.138985e+33, 58481
85, -8.245294e+41, 91296
28, -26492868.364296, 3933
27, -25300470.890881, 3609
42, -2.349650e+15, 11861
21, 17729.598133, 1957
47, 1.209457e+17, 16288
66, 2.593224e+29, 43544
96, -1.540243e+51, 130546
57, 9.516929e+23, 28466
32, -7.021537e+09, 5561
13, 9.087298, 475
7, -0.123260, 132
7, -1.068941, 118
23, -51289.618949, 2389
96, 1.657139e+52, 130506
28, -10265656.886867, 3947
100, -8.589273e+54, 147243
28, 25898089.942709, 3946
51, 6.724675e+19, 20646
52, -1.603793e+21, 21724
43, 2.309729e+14, 12694
10, -1.035693, 291
85, -4.260974e+42, 91310
37, -1.712373e+11, 8356
44, -1.633866e+16, 13493
22, 13632.532587, 2202
63, -1.280316e+26, 37944
36, -4.829020e+11, 7699
18, 1055.744456, 1430
67, -2.140639e+31, 45430
18, -4330.444949, 1418
58, -9.955507e+24, 29873
64, 8.511558e+27, 39667
25, 1861726.966694, 2992
97, -4.577627e+50, 134744
72, 2.369479e+33, 55996
33, 1.921276e+10, 6127
41, 9.169304e+13, 11121
18, -35.771899, 1419
59, 2.588105e+25, 31400
13, -182.079521, 490
48, 1.909688e+18, 17264
64, 7.866298e+27, 39678
65, -3.339508e+29, 41649
60, 5.718951e+24, 32882
44, 3.789933e+14, 13470
81, 3.495586e+40, 79304
17, 98.472843, 1276
6, -2.474618, 161
14, 137.799258, 538
6, 2.457160, 104
48, -1.109962e+19, 17226
98, -1.189815e+52, 138893
10, 2.684094, 292
34, -3.805283e+10, 6656
73, 3.045029e+34, 58473
62, 1.803609e+26, 36287
13, -20.518208, 499
98, -1.007059e+53, 138873
87, -9.662973e+44, 97754
98, -8.591260e+53, 138921
56, 1.122108e+23, 26911
46, 4.934142e+15, 15381
26, 1518976.403988, 3311
18, 15287.777860, 1383
76, 1.579458e+36, 65611
78, 1.639343e+38, 70949
39, -3.003938e+13, 9663
83, -3.123575e+41, 85164
54, -4.009564e+22, 24327
49, -6.963998e+18, 18440
80, 4.658155e+39, 76264
92, 2.444994e+48, 115121
10, 1.194160, 309
16, -757.668091, 754
48, -6.319117e+17, 17250
70, -4.486271e+32, 51698
98, 8.845463e+51, 138874
39, -9.169176e+12, 9665
75, -1.703990e+35, 63239
75, -5.660954e+35, 63217
62, -5.632693e+27, 36279
62, -3.034759e+27, 36275
8, 0.812546, 221
39, -1.979257e+12, 9647
45, -1.091919e+16, 14445
57, 2.799254e+23, 28463
11, -4.382064, 349
72, -3.655556e+33, 55967
59, -8.455880e+25, 31443
25, 389830.480956, 3006
70, 2.304185e+31, 51638
53, -5.634104e+20, 23054
37, 5.186554e+12, 8356
5, 0.139917, 146
62, 1.430110e+26, 36237
38, 2.268236e+13, 8993
31, -1.171513e+09, 5197
21, 28712.083170, 1958
10, 8.029501, 276
78, -6.579998e+37, 70902
10, -1.636474, 287
46, -1.599213e+16, 15343
76, -2.400859e+35, 65608
11, -0.207931, 336
99, 3.113369e+53, 143054
100, 1.890791e+54, 147264
7, -0.391102, 190
54, -5.525605e+22, 24310
61, 9.773997e+26, 34646
13, -3.406556, 483
18, 57.840415, 1381
40, 2.440300e+14, 10235
23, 2035.037338, 2434
45, 1.400367e+17, 14410
70, -7.206143e+32, 51652
65, 8.203802e+29, 41643
93, -2.236361e+49, 119041
8, 3.206736, 219
37, -1.197762e+09, 8360
11, -2.623916, 345
76, 7.196317e+35, 65583
7, 0.355640, 171
54, 2.690975e+22, 24311
76, -8.582233e+35, 65605
33, -8.303042e+09, 6136
62, -1.379622e+27, 36288
94, -8.606885e+48, 122781
48, -1.149802e+18, 17279
77, 1.311279e+36, 68304
27, -2042974.105177, 3651
81, -6.694021e+37, 79253
48, -1.623214e+19, 17274
10, 0.727521, 283
97, -6.182848e+51, 134770
66, -3.973447e+29, 43533
96, 1.076857e+52, 130524
19, -1397.139037, 1582
9, -0.140891, 233
26, 12802847.137767, 3280
46, 4.750880e+15, 15348
58, -2.055549e+24, 29957
92, 9.387913e+47, 115110
22, 149901.530068, 2218
48, -7.673262e+18, 17249
65, -2.286615e+29, 41689
58, 1.347390e+24, 29956
45, -4.886629e+15, 14469
42, 3.997421e+13, 11920
87, 2.143824e+44, 97767
28, 8517131.235393, 3932
33, -3.553879e+10, 6165
43, 7.855734e+15, 12722
98, 5.575208e+52, 138876
67, 3.053890e+30, 45480
