X,Y,Z,time_us
92,45,59,89373
75,12,83,30849
64,67,46,70951
89,42,54,73737
62,57,49,62455
7,45,70,8234
36,15,42,9277
57,95,49,94880
14,20,88,9629
64,54,27,34088
68,34,57,48708
30,87,53,49667
87,100,58,179498
73,79,55,113895
9,29,49,4922
45,82,28,37068
86,80,12,29810
88,27,59,52688
48,41,69,49603
5,41,94,7218
31,48,31,16837
58,63,70,92540
21,38,37,11045
28,62,95,59855
73,65,84,142862
60,15,45,16514
41,76,14,15853
82,78,63,144498
27,9,64,6699
53,41,93,73742
8,36,27,2986
99,31,85,97969
58,56,91,106311
85,69,46,97140
24,50,90,39287
98,95,80,265666
30,95,64,65302
95,22,57,46016
85,47,70,102433
92,66,88,191557
27,83,7,5803
14,77,17,6728
92,69,31,70980
13,60,75,21304
46,55,49,45202
56,82,65,106562
92,75,54,133405
90,8,25,7877
100,21,21,17205
58,62,17,22333
44,49,76,59406
92,24,19,15905
48,77,30,39936
10,72,48,12518
47,38,16,10726
88,100,51,159705
52,49,66,60954
62,17,39,16058
15,100,58,31223
100,52,86,162120
17,24,17,2722
78,72,9,18416
32,50,76,44239
87,60,64,120587
34,41,58,29632
70,85,44,93732
27,52,62,31748
52,62,97,112999
19,32,41,9296
78,66,25,46428
78,44,51,64061
83,65,58,112229
27,27,18,5036
27,6,5,455
52,90,65,108364
92,78,85,218556
9,28,20,2003
34,5,15,1319
56,88,53,92976
92,83,82,223302
56,59,77,91775
40,56,31,25138
98,70,83,204686
74,76,84,169107
56,24,31,15769
26,47,29,13122
18,95,55,33782
65,91,29,61366
8,17,33,1853
21,89,85,56705
91,90,79,230083
55,72,81,114574
69,76,71,133337
60,5,35,5119
76,76,5,10742
38,86,88,102934
17,88,88,47106
77,61,95,161005
98,75,7,18854
88,94,46,135898
51,35,73,48381
71,58,92,136437
38,6,88,9305
61,47,85,89268
83,98,59,170510
56,41,28,23607
40,57,17,14142
100,89,54,170971
44,48,64,48992
92,64,66,139206
9,91,51,15108
45,93,26,39038
79,46,73,97117
15,43,54,12861
76,34,86,81987
90,82,61,160594
75,59,23,36927
5,66,99,11996
30,63,85,58230
30,74,63,50163
32,89,91,92299
60,81,66,114389
85,47,56,82001
55,28,34,19804
42,59,51,45692
11,45,82,15016
39,54,55,42206
13,35,42,7170
47,43,89,65750
13,41,27,5366
63,92,68,140508
66,6,94,17202
15,46,64,16312
21,49,49,18406
5,24,17,864
8,42,26,3294
69,55,43,59473
80,31,89,82913
50,29,99,53996
55,47,81,76744
17,77,65,30721
83,94,9,25530
95,63,16,34960
31,99,22,24221
48,52,77,69801
34,68,62,51641
59,64,83,112272
44,30,37,18465
62,33,8,6223
66,57,96,129974
89,63,95,192403
42,55,33,27875
63,20,51,24942
39,82,90,102744
85,8,55,16172
62,66,24,35479
20,44,69,22341
8,55,48,7832
18,72,68,31682
15,92,58,28791
46,63,62,65085
88,95,39,116587
22,28,49,11462
11,62,31,7792
87,60,10,19166
12,36,5,935
47,93,61,95199
10,31,18,2216
76,90,56,136422
73,69,63,114136
91,33,12,13516
63,63,89,127710
40,84,40,48195
60,83,57,101426
16,34,98,19814
72,55,90,129530
87,25,25,20580
30,9,19,2283
59,40,82,70571
41,70,85,87862
97,27,16,15932
82,13,25,11036
66,67,45,71593
60,21,57,27827
74,70,34,63561
23,42,11,4003
81,100,56,161424
27,17,11,2070
32,81,11,10375
44,31,85,43673
52,92,93,158528
47,96,79,126533
89,67,53,113558
