size,result,time_us
57, 3.203061e+23, 4329
7, 1.451627, 66
73, 1.589592e+34, 8138
65, -4.027489e+29, 6026
38, -1.364496e+13, 1697
64, 1.061343e+28, 5734
58, 2.501646e+23, 4546
66, -3.863457e+30, 6302
53, -8.104072e+21, 3588
80, inf, 10277
14, -183.828400, 163
22, -60028.109375, 569
30, 3.690234e+09, 962
57, -2.638830e+25, 4386
20, 10798.825195, 479
89, inf, 13730
72, -2.437041e+34, 7726
84, -inf, 11692
28, -858337.250000, 841
47, 1.608681e+18, 2664
59, -2.728432e+24, 4763
30, 1.929332e+09, 1059
49, 7.389414e+17, 2942
32, 1.376496e+09, 1146
20, 2222.845459, 463
79, 1.588194e+37, 10065
91, -inf, 14778
52, 7.812828e+20, 3350
99, -inf, 18537
85, -inf, 12089
61, 1.132258e+26, 5089
22, -41108.011719, 588
66, 2.812350e+28, 6258
50, 3.188934e+20, 3156
61, -2.924938e+27, 5105
22, 59785.644531, 583
54, 2.040008e+22, 3743
98, inf, 17961
82, inf, 11077
90, -inf, 14222
71, -2.198828e+32, 7601
48, 4.166772e+18, 2790
24, -5226894.000000, 635
28, -20598366.000000, 850
33, 615768128.000000, 1185
74, 9.908329e+33, 8404
9, -0.838734, 89
95, -inf, 16587
84, -inf, 11665
86, inf, 12576
62, 1.581030e+26, 5339
23, -110361.601562, 627
16, 101.614159, 208
68, -1.264678e+31, 6666
38, -9.904435e+11, 1677
44, 4.477165e+14, 2271
47, 1.283447e+18, 2717
5, 0.123820, 59
78, -2.559999e+37, 9735
11, 6.091588, 122
89, -inf, 13775
26, 8281809.500000, 752
14, -1.324642, 153
40, 1.069999e+12, 1804
42, -2.764518e+13, 2083
41, 5.189952e+14, 1965
89, inf, 13765
43, 2.920073e+14, 2179
63, -3.230367e+28, 5613
75, 6.033280e+36, 8832
37, 1.723907e+11, 1564
94, -inf, 16031
91, -inf, 14731
81, inf, 10662
41, 6.114216e+14, 1987
48, 3.216140e+18, 2794
50, -3.821571e+19, 3132
42, -8.674823e+14, 2093
42, -7.407076e+14, 2086
87, -inf, 13087
49, -3.046056e+19, 2948
77, 3.257230e+37, 9339
34, 9.236293e+09, 1350
12, -1.593027, 130
47, 1.252441e+18, 2732
57, -4.403186e+23, 4336
58, 3.946388e+23, 4539
58, -9.850348e+22, 4542
44, 9.943311e+15, 2273
99, inf, 18539
24, 266613.218750, 653
48, -3.553603e+17, 2765
57, 8.155721e+23, 4339
48, 8.398319e+17, 2805
58, 1.478871e+25, 4543
68, 1.123446e+32, 6697
50, 7.121287e+17, 3134
26, 1225713.250000, 796
96, inf, 16713
25, 1956817.750000, 682
7, 2.488865, 65
16, 483.629669, 196
55, -5.489796e+22, 3934
85, inf, 12159
82, -inf, 11065
88, -inf, 13200
22, 19178.125000, 548
28, 28820080.000000, 811
65, 5.092993e+28, 5963
49, 1.060934e+19, 2980
35, -4.384032e+10, 1407
21, -3187.662598, 504
95, inf, 16525
34, 5.287511e+10, 1290
54, -1.916891e+22, 3786
95, inf, 16571
15, 16.050194, 222
94, inf, 16010
10, 8.453950, 90
43, -3.198903e+14, 2186
40, -1.455711e+14, 1848
91, -inf, 14771
26, 890134.812500, 808
7, 0.883340, 55
21, 114602.695312, 475
86, -inf, 12548
42, -4.764794e+13, 2066
77, -inf, 9348
50, 1.777350e+19, 3109
41, 3.772727e+14, 1963
94, -inf, 16030
70, -4.656494e+30, 7300
52, 2.374744e+20, 3379
73, -2.201044e+34, 8126
64, -1.037291e+29, 5720
5, 0.133759, 59
42, -1.915868e+16, 2091
50, -5.834542e+19, 3167
99, inf, 18535
84, inf, 11668
83, inf, 11495
45, 3.046258e+16, 2383
83, -inf, 11538
28, 1539691.000000, 868
77, 1.055348e+38, 9276
8, -0.771823, 79
73, -5.902923e+34, 8139
100, inf, 18738
80, -inf, 10220
33, 8.711834e+09, 1234
86, -inf, 12616
50, -5.963920e+18, 3119
28, -30053504.000000, 892
56, -2.713412e+22, 4013
19, 8613.992188, 443
63, -9.400995e+25, 5572
6, 0.009132, 61
55, 1.270263e+22, 3975
33, -601241920.000000, 1247
19, -1587.908081, 409
5, -0.044415, 41
22, -488029.687500, 511
73, 3.496273e+33, 8076
83, inf, 11537
22, 105451.539062, 548
45, 2.300172e+16, 2362
79, -inf, 10108
50, 2.920087e+19, 3142
93, inf, 15482
92, -inf, 14896
34, -2.022865e+11, 1318
31, 961429248.000000, 1103
55, 1.928336e+22, 3950
84, inf, 11689
17, 82.315102, 364
66, -8.081878e+29, 6252
25, -316258.312500, 717
45, -1.007986e+16, 2364
38, -2.779936e+11, 1697
46, 1.583180e+17, 2565
