––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]
30,42,3837,5.661501e-06

42,32,2307,4.678711e-06

32,42,4310,5.810121e-06

42,34,2513,4.681679e-06

34,42,4459,5.593993e-06

42,36,2702,5.494486e-06

36,42,4896,6.217337e-06

42,38,2890,5.352468e-06

38,42,5093,6.224747e-06

42,40,3095,6.092439e-06

40,42,5519,5.586191e-06

42,42,3290,6.080797e-06

44,16,973,2.528561e-06

16,44,1978,3.938079e-06

44,18,1133,2.938707e-06

18,44,2313,4.242253e-06

44,20,1296,3.216019e-06

20,44,2495,4.073935e-06

44,22,1483,3.645297e-06

22,44,2933,4.605867e-06

44,24,1646,4.020801e-06

24,44,3018,5.147813e-06

44,26,1930,4.256579e-06

26,44,3461,5.101101e-06

44,28,2020,4.502609e-06

28,44,3677,5.363604e-06

44,30,2208,4.406189e-06

30,44,4134,5.716885e-06

44,32,2420,4.868889e-06

32,44,4291,5.861507e-06

44,34,2612,5.485988e-06

34,44,4854,5.913167e-06

44,36,2833,5.141976e-06

36,44,5013,6.473615e-06

44,38,3062,6.055630e-06

38,44,5457,5.875027e-06

44,40,3252,5.614464e-06

40,44,5672,6.001234e-06

44,42,3466,6.551267e-06

42,44,6173,6.256140e-06

44,44,3681,6.522416e-06

46,18,1145,3.008218e-06

18,46,2305,4.830690e-06

46,20,1353,3.287095e-06

20,46,2617,4.585365e-06

46,22,1595,3.555084e-06

22,46,2852,5.159743e-06

46,24,1704,3.826868e-06

24,46,3175,5.644686e-06

46,26,1904,4.243822e-06

26,46,3486,5.680229e-06

46,28,2105,4.787325e-06

28,46,3884,6.580526e-06

46,30,2289,4.460208e-06

30,46,4180,5.692500e-06

46,32,2514,4.989178e-06

32,46,4576,6.620478e-06

46,34,2722,5.418561e-06

34,46,4868,6.475242e-06

46,36,2978,5.298662e-06

36,46,5319,6.237897e-06

46,38,3195,5.649380e-06

38,46,5674,7.205336e-06

46,40,3421,6.111571e-06

