X,Y,Z,time_us
93,82,49,471642
82,93,49,470609
93,49,82,478833
49,82,93,471583
93,82,60,577465
82,93,60,576105
93,60,82,582661
60,82,93,577399
93,82,71,683041
82,93,71,681725
93,71,82,686636
71,82,93,683075
93,82,82,788770
82,93,82,787153
82,82,93,789009
93,93,38,414106
93,38,93,426932
38,93,93,414220
93,93,49,533705
93,49,93,543001
49,93,93,533653
93,93,60,653317
93,60,93,661093
60,93,93,653409
93,93,71,772948
93,71,93,778804
71,93,93,773363
93,93,82,892760
93,82,93,894726
82,93,93,892678
93,93,93,1012501
99,49,49,304712
49,99,49,298952
49,49,99,304605
99,60,49,370884
60,99,49,366050
99,49,60,373060
49,60,99,370608
99,60,60,454140
60,99,60,448182
60,60,99,454150
99,71,49,437092
71,99,49,432899
99,49,71,441233
49,71,99,437197
99,71,60,535136
71,99,60,530186
99,60,71,537280
60,71,99,534976
99,71,71,633001
71,99,71,627208
71,71,99,633282
99,82,49,502093
82,99,49,500094
99,49,82,509570
49,82,99,501832
99,82,60,614795
82,99,60,612237
99,60,82,620214
60,82,99,614481
99,82,71,727076
82,99,71,724429
99,71,82,731166
71,82,99,727344
99,82,82,839740
82,99,82,836497
82,82,99,839541
99,93,49,568267
93,99,49,567204
99,49,93,577867
49,93,99,568096
99,93,60,695686
93,99,60,694426
99,60,93,703583
60,93,99,695608
99,93,71,822862
93,99,71,821188
99,71,93,829185
71,93,99,822811
99,93,82,950425
93,99,82,948547
99,82,93,952360
82,93,99,950145
99,93,93,1077785
93,99,93,1075888
93,93,99,1077836
105,49,49,322992
49,105,49,316579
49,49,105,323154
105,60,49,393353
60,105,49,387481
105,49,60,395683
49,60,105,393286
105,60,60,481562
60,105,60,474370
60,60,105,481756
105,71,49,463615
71,105,49,458584
105,49,71,467894
49,71,105,463573
105,71,60,567429
71,105,60,561133
105,60,71,569714
60,71,105,567427
105,71,71,671455
71,105,71,664077
71,71,105,671330
105,82,49,532523
82,105,49,529470
105,49,82,540473
49,82,105,532205
105,82,60,651792
82,105,60,648380
105,60,82,657701
60,82,105,651815
105,82,71,771200
82,105,71,766829
105,71,82,775471
71,82,105,771369
105,82,82,890529
82,105,82,885584
82,82,105,890801
105,93,49,602610
93,105,49,600403
105,49,93,613059
49,93,105,602387
105,93,60,737765
93,105,60,735021
105,60,93,746153
60,93,105,737668
105,93,71,872988
93,105,71,869763
105,71,93,879215
71,93,105,872817
105,93,82,1007984
93,105,82,1004292
105,82,93,1010081
82,93,105,1007954
105,93,93,1143109
93,105,93,1139122
93,93,105,1143230
105,104,49,671463
104,105,49,671330
105,49,104,685512
49,104,105,671285
105,104,60,821867
104,105,60,822311
105,60,104,834433
60,104,105,821982
105,104,71,972244
104,105,71,972531
105,71,104,983172
71,104,105,972497
105,104,82,1123059
104,105,82,1123633
105,82,104,1129299
82,104,105,1123019
105,104,93,1273444
104,105,93,1273960
105,93,104,1278106
93,104,105,1273672
105,104,104,1424171
104,105,104,1424131
104,104,105,1424246
111,53,53,399109
53,111,53,391554
53,53,111,399046
111,65,53,485403
65,111,53,480197
111,53,65,489329
53,65,111,485712
111,65,65,595622
65,111,65,588539
65,65,111,595314
111,77,53,573193
77,111,53,568607
111,53,77,579631
53,77,111,573050
111,77,65,702856
77,111,65,697181
111,65,77,705059
65,77,111,702597
111,77,77,832331
77,111,77,825873
77,77,111,832249
111,89,53,659223
89,111,53,657177
111,53,89,670018
53,89,111,659264
111,89,65,808671
89,111,65,805841
111,65,89,814810
65,89,111,808270
111,89,77,957479
89,111,77,954373
111,77,89,961914
77,89,111,957481
111,89,89,1106766
89,111,89,1103155
89,89,111,1106542
111,101,53,746808
101,111,53,745710
111,53,101,760075
53,101,111,746637
111,101,65,915795
101,111,65,914403
111,65,101,924744
65,101,111,915553
111,101,77,1084792
101,111,77,1083585
111,77,101,1091596
77,101,111,1084205
111,101,89,1253689
101,111,89,1251835
111,89,101,1255946
89,101,111,1253532
111,101,101,1422663
101,111,101,1420394
101,101,111,1422234
117,53,53,420933
53,117,53,412138
53,53,117,420707
117,65,53,511652
65,117,53,505368
117,53,65,515754
53,65,117,512020
117,65,65,627557
65,117,65,619546
65,65,117,627410
117,77,53,603980
77,117,53,598509
117,53,77,611088
53,77,117,604214
117,77,65,740757
77,117,65,734009
117,65,77,742926
65,77,117,740425
117,77,77,877534
77,117,77,869227
77,77,117,877015
117,89,53,694767
89,117,53,691871
117,53,89,706071
53,89,117,694896
117,89,65,851944
89,117,65,848121
117,65,89,858933
