X,Y,Z,time_us
137,70,57,17921
70,137,57,17255
137,57,70,17908
57,70,137,17744
137,70,70,21975
70,137,70,21149
70,70,137,21733
137,83,57,20866
83,137,57,20420
137,57,83,21208
57,83,137,20662
137,83,70,25582
83,137,70,25032
137,70,83,26025
70,83,137,25315
137,83,83,30291
83,137,83,29639
83,83,137,29962
137,96,57,23840
96,137,57,23584
137,57,96,24225
57,96,137,23609
137,96,70,29221
96,137,70,28911
137,70,96,29715
70,96,137,28925
137,96,83,34614
96,137,83,34239
137,83,96,34611
83,96,137,34240
137,96,96,39556
96,137,96,39144
96,96,137,39549
137,109,57,27122
109,137,57,26753
137,57,109,27536
57,109,137,26853
137,109,70,33256
109,137,70,32797
137,70,109,33776
70,109,137,32908
137,109,83,39381
109,137,83,38842
137,83,109,39334
83,109,137,38953
137,109,96,44999
109,137,96,44401
137,96,109,44949
96,109,137,44996
137,109,109,51137
109,137,109,50450
109,109,137,51045
137,122,57,30071
122,137,57,29923
137,57,122,30834
57,122,137,29777
137,122,70,36859
122,137,70,36680
137,70,122,37831
70,122,137,36484
137,122,83,43653
122,137,83,43438
137,83,122,44047
83,122,137,43188
137,122,96,49896
122,137,96,49660
137,96,122,50332
96,122,137,49889
137,122,109,56698
122,137,109,56425
137,109,122,57269
109,122,137,56597
137,122,122,63487
122,137,122,63187
122,122,137,63298
137,135,57,33373
135,137,57,33088
137,57,135,34128
57,135,137,33054
137,135,70,40918
135,137,70,40562
137,70,135,41879
70,135,137,40498
137,135,83,48464
135,137,83,48036
137,83,135,48764
83,135,137,47942
137,135,96,55385
135,137,96,54918
137,96,135,55716
96,135,137,55385
137,135,109,62941
135,137,109,62405
137,109,135,63396
109,135,137,62828
137,135,122,70484
135,137,122,69874
137,122,135,70279
122,135,137,70270
137,135,135,78030
135,137,135,77347
135,135,137,77716
144,70,70,23091
70,144,70,22181
70,70,144,22783
144,83,70,26881
83,144,70,26257
144,70,83,27343
70,83,144,26536
144,83,83,31835
83,144,83,31091
83,83,144,31409
144,96,70,30710
96,144,70,30329
144,70,96,31226
70,96,144,30320
144,96,83,36370
96,144,83,35915
144,83,96,36373
83,96,144,35892
144,96,96,41559
96,144,96,41058
96,96,144,41464
144,109,70,34939
109,144,70,34404
144,70,109,35490
70,109,144,34493
144,109,83,41378
109,144,83,40742
144,83,109,41333
83,109,144,40832
144,109,96,47281
109,144,96,46574
144,96,109,47233
96,109,144,47172
144,109,109,53737
109,144,109,52920
109,109,144,53512
144,122,70,38730
122,144,70,38476
144,70,122,39748
70,122,144,38248
144,122,83,45868
122,144,83,45568
144,83,122,46287
83,122,144,45277
144,122,96,52434
122,144,96,52093
144,96,122,52887
96,122,144,52310
144,122,109,59574
122,144,109,59188
144,109,122,60177
109,122,144,59336
144,122,122,66714
122,144,122,66277
122,122,144,66363
144,135,70,43000
135,144,70,42550
144,70,135,44006
70,135,144,42456
144,135,83,50929
135,144,83,50396
144,83,135,51236
83,135,144,50261
144,135,96,58196
135,144,96,57609
144,96,135,58545
96,135,144,58061
144,135,109,66137
135,144,109,65456
144,109,135,66618
109,135,144,65865
144,135,122,74064
135,144,122,73297
144,122,135,73844
122,135,144,73668
144,135,135,81998
135,144,135,81137
135,135,144,81474
151,70,70,24209
70,151,70,23410
70,70,151,24016
151,83,70,28180
83,151,70,27708
151,70,83,28665
70,83,151,27966
151,83,83,33376
83,151,83,32817
83,83,151,33103
151,96,70,32196
96,151,70,32010
151,70,96,32738
70,96,151,31954
151,96,83,38124
96,151,83,37909
151,83,96,38129
83,96,151,37823
151,96,96,43575
96,151,96,43324
96,96,151,43692
151,109,70,36632
109,151,70,36312
151,70,109,37206
70,109,151,36351
151,109,83,43385
109,151,83,43002
151,83,109,43333
83,109,151,43036
151,109,96,49571
109,151,96,49144
151,96,109,49513
96,109,151,49714
151,109,109,56333
109,151,109,55846
109,109,151,56397
151,122,70,40604
122,151,70,40612
151,70,122,41674
70,122,151,40301
151,122,83,48082
122,151,83,48099
151,83,122,48528
83,122,151,47707
151,122,96,54968
122,151,96,54967
151,96,122,55447
96,122,151,55115
151,122,109,62456
