M1:

9,7,13,404

9,13,9,498

13,9,9,483

9,9,13,490

11,13,5,350

13,11,5,354

5,13,11,382

11,5,13,346

11,13,7,477

13,11,7,464

7,13,11,495

11,7,13,468

11,13,9,592

13,11,9,585

9,13,11,598

11,9,13,580

11,13,11,734

13,11,11,715

11,11,13,708

13,13,5,396

5,13,13,438

13,5,13,400

13,13,7,553

7,13,13,574

13,7,13,536

13,13,9,670

9,13,13,693

13,9,13,670

13,13,11,829

11,13,13,831

13,11,13,818

13,13,13,959

5,15,5,227

15,5,5,201

5,5,15,217

7,15,5,276

15,7,5,273

5,15,7,293

7,5,15,278

7,15,7,378

15,7,7,362

7,7,15,375

9,15,5,331

15,9,5,332

5,15,9,360

9,5,15,332

9,15,7,458

15,9,7,439

7,15,9,465

9,7,15,449

9,15,9,568

15,9,9,551

9,9,15,559

11,15,5,394

15,11,5,413

5,15,11,452

11,5,15,387

11,15,7,536

15,11,7,532

7,15,11,574

11,7,15,535

11,15,9,674

15,11,9,668

9,15,11,687

11,9,15,672

11,15,11,815

15,11,11,802

11,11,15,811

13,15,5,455

15,13,5,455

5,15,13,512

13,5,15,448

13,15,7,620

15,13,7,616

7,15,13,657

13,7,15,610

13,15,9,776

15,13,9,778

9,15,13,794

13,9,15,778

13,15,11,943

15,13,11,932

11,15,13,969

13,11,15,948

13,15,13,1107

15,13,13,1092

13,13,15,1103

15,15,5,520

5,15,15,593

15,5,15,513

15,15,7,713

7,15,15,768

15,7,15,700

15,15,9,889

9,15,15,913

15,9,15,881

15,15,11,1079

11,15,15,1089

15,11,15,1092

15,15,13,1256

13,15,15,1289

15,13,15,1284

15,15,15,1467

5,17,5,245

17,5,5,219

5,5,17,242

7,17,5,307

17,7,5,287

5,17,7,328

7,5,17,302

7,17,7,445

17,7,7,384

7,7,17,409

9,17,5,383

17,9,5,348

5,17,9,403

9,5,17,368

9,17,7,505

17,9,7,470

7,17,9,532

9,7,17,505

9,17,9,641

17,9,9,592

9,9,17,629

11,17,5,443

17,11,5,417

5,17,11,522

11,5,17,444

11,17,7,609

17,11,7,574

7,17,11,651

11,7,17,600

11,17,9,756

17,11,9,717

9,17,11,769

11,9,17,751

11,17,11,918

17,11,11,864

11,11,17,908

13,17,5,515

17,13,5,496

5,17,13,566

13,5,17,502

13,17,7,693

17,13,7,663

7,17,13,741

13,7,17,686

13,17,9,900

17,13,9,842

9,17,13,900

13,9,17,873

13,17,11,1065

17,13,11,1004

11,17,13,1090

13,11,17,1053

13,17,13,1261

17,13,13,1186

13,13,17,1240

15,17,5,592

17,15,5,570

5,17,15,672

15,5,17,584

15,17,7,795

17,15,7,762

7,17,15,864

15,7,17,776

15,17,9,998

17,15,9,957

9,17,15,1027

15,9,17,991

15,17,11,1207

17,15,11,1176

11,17,15,1256

15,11,17,1200

15,17,13,1437

17,15,13,1380

13,17,15,1457

15,13,17,1434

15,17,15,1659

17,15,15,1585

15,15,17,1640

17,17,5,649

5,17,17,740

17,5,17,617

17,17,7,909

7,17,17,973

17,7,17,840

17,17,9,1074

9,17,17,1162

17,9,17,1088

17,17,11,1303

11,17,17,1403

17,11,17,1321

17,17,13,1551

13,17,17,1635

17,13,17,1542

17,17,15,1778

15,17,17,1859

17,15,17,1769

17,17,17,1994

5,19,5,277

19,5,5,241

5,5,19,276

7,19,5,343

19,7,5,317

5,19,7,361

7,5,19,335

7,19,7,476

19,7,7,422

7,7,19,458

9,19,5,425

19,9,5,395

5,19,9,449

9,5,19,408

9,19,7,567

19,9,7,523

7,19,9,588

9,7,19,551

9,19,9,704

19,9,9,675

9,9,19,713

11,19,5,492

19,11,5,463

5,19,11,550

11,5,19,492

11,19,7,676

19,11,7,637

7,19,11,719

11,7,19,667

11,19,9,846

19,11,9,787

9,19,11,847

11,9,19,839

11,19,11,1020

19,11,11,959

11,11,19,1014

13,19,5,568

19,13,5,540

5,19,13,634

13,5,19,564

13,19,7,780

19,13,7,741

7,19,13,829

13,7,19,763

13,19,9,974

19,13,9,929

9,19,13,998

13,9,19,970

13,19,11,1182

19,13,11,1144

11,19,13,1199

13,11,19,1180

13,19,13,1409

19,13,13,1340

13,13,19,1393

15,19,5,643

19,15,5,611

5,19,15,731

15,5,19,629

15,19,7,884

19,15,7,850

7,19,15,959

15,7,19,871

15,19,9,1113

19,15,9,1063

9,19,15,1149

15,9,19,1106

15,19,11,1351

19,15,11,1307

11,19,15,1387

15,11,19,1366

15,19,13,1585

19,15,13,1527

13,19,15,1614

15,13,19,1600

15,19,15,1844

19,15,15,1752

15,15,19,1838

17,19,5,721

19,17,5,708

5,19,17,823

17,5,19,685

17,19,7,957

19,17,7,954

7,19,17,1072

17,7,19,932

17,19,9,1220

19,17,9,1204

9,19,17,1286

17,9,19,1210

17,19,11,1482

19,17,11,1479

11,19,17,1563

17,11,19,1472

17,19,13,1725

19,17,13,1721

13,19,17,1820

17,13,19,1723

17,19,15,1977

19,17,15,1976

15,19,17,2067

17,15,19,1974

17,19,17,2225

19,17,17,2227

17,17,19,2232

19,19,5,793

5,19,19,928

19,5,19,768

19,19,7,1062

7,19,19,1204

19,7,19,1046

19,19,9,1324

9,19,19,1457

19,9,19,1350

19,19,11,1648

11,19,19,1743

19,11,19,1632

19,19,13,1917

13,19,19,2024

19,13,19,1918

19,19,15,2201

15,19,19,2308

19,15,19,2196

19,19,17,2476

17,19,19,2479

19,17,19,2477

19,19,19,2767

5,21,5,310

21,5,5,279

5,5,21,321

7,21,5,376

21,7,5,348

5,21,7,426

7,5,21,372

7,21,7,523

21,7,7,467

7,7,21,510

9,21,5,464

21,9,5,422

5,21,9,493

9,5,21,444

9,21,7,623

21,9,7,576

7,21,9,647

9,7,21,608

9,21,9,778

21,9,9,721

9,9,21,776

11,21,5,535

21,11,5,510

5,21,11,611

11,5,21,535

11,21,7,739

21,11,7,693

7,21,11,791

11,7,21,724

11,21,9,920

21,11,9,888

9,21,11,946

11,9,21,914

11,21,11,1143

21,11,11,1059

11,11,21,1132

13,21,5,624

21,13,5,588

5,21,13,733

13,5,21,608

13,21,7,851

21,13,7,833

7,21,13,918

13,7,21,838

13,21,9,1077

21,13,9,1019

9,21,13,1099

13,9,21,1061

13,21,11,1303

21,13,11,1232

11,21,13,1328

13,11,21,1316

13,21,13,1544

21,13,13,1470

13,13,21,1544

15,21,5,734

21,15,5,687

5,21,15,816

15,5,21,692

15,21,7,978

21,15,7,933

7,21,15,1058

15,7,21,958

15,21,9,1219

21,15,9,1183

9,21,15,1284

15,9,21,1220

15,21,11,1487

21,15,11,1437

11,21,15,1531

15,11,21,1492

15,21,13,1756

21,15,13,1677

13,21,15,1778

15,13,21,1754

15,21,15,2029

21,15,15,1931

15,15,21,2013

17,21,5,790

21,17,5,771

5,21,17,911

17,5,21,739

17,21,7,1052

21,17,7,1049

7,21,17,1199

17,7,21,1029

17,21,9,1338

21,17,9,1340

9,21,17,1444

17,9,21,1313

17,21,11,1608

21,17,11,1620

11,21,17,1729

17,11,21,1608

17,21,13,1894

21,17,13,1903

13,21,17,1998

17,13,21,1883

17,21,15,2178

21,17,15,2177

15,21,17,2278

17,15,21,2163

17,21,17,2449

21,17,17,2445

17,17,21,2445

19,21,5,877

21,19,5,857

5,21,19,1017

19,5,21,835

19,21,7,1157

21,19,7,1188

7,21,19,1348

19,7,21,1149

19,21,9,1465

21,19,9,1485

9,21,19,1605

19,9,21,1478

19,21,11,1809

21,19,11,1807

11,21,19,1921

19,11,21,1790

19,21,13,2108

21,19,13,2108

13,21,19,2230

19,13,21,2098

19,21,15,2426

21,19,15,2424

15,21,19,2543

19,15,21,2406

19,21,17,2721

21,19,17,2733

17,21,19,2730

19,17,21,2722

19,21,19,3061

21,19,19,3047

19,19,21,3032

21,21,5,959

5,21,21,1115

21,5,21,923

21,21,7,1288

7,21,21,1442

21,7,21,1278

21,21,9,1637

9,21,21,1765

21,9,21,1622

21,21,11,1991

11,21,21,2109

21,11,21,1967

21,21,13,2319

13,21,21,2451

21,13,21,2313

21,21,15,2671

15,21,21,2793

21,15,21,2653

21,21,17,3005

17,21,21,2999

21,17,21,2997

21,21,19,3355

19,21,21,3344

21,19,21,3341

21,21,21,3687

5,23,5,333

23,5,5,300

5,5,23,354

7,23,5,417

23,7,5,369

5,23,7,452

7,5,23,407

7,23,7,566

23,7,7,497

7,7,23,547

9,23,5,501

23,9,5,468

5,23,9,543

9,5,23,486

9,23,7,673

23,9,7,634

7,23,9,711

9,7,23,668

9,23,9,850

23,9,9,781

9,9,23,843

11,23,5,587

23,11,5,547

5,23,11,662

11,5,23,578

11,23,7,803

23,11,7,753

7,23,11,883

11,7,23,800

11,23,9,1018

23,11,9,946

9,23,11,1025

11,9,23,995

11,23,11,1247

23,11,11,1159

11,11,23,1224

13,23,5,702

23,13,5,657

5,23,13,767

13,5,23,676

13,23,7,929

23,13,7,903

7,23,13,1006

13,7,23,922

13,23,9,1176

23,13,9,1113

9,23,13,1197

13,9,23,1186

13,23,11,1423

23,13,11,1366

11,23,13,1450

13,11,23,1435

13,23,13,1683

23,13,13,1600

13,13,23,1687

15,23,5,803

23,15,5,742

5,23,15,881

15,5,23,759

15,23,7,1064

23,15,7,1016

7,23,15,1157

15,7,23,1045

15,23,9,1333

23,15,9,1297

9,23,15,1405

15,9,23,1355

15,23,11,1631

23,15,11,1571

11,23,15,1671

15,11,23,1630

15,23,13,1923

23,15,13,1840

13,23,15,1946

15,13,23,1919

15,23,15,2212

23,15,15,2108

15,15,23,2199

17,23,5,860

23,17,5,842

5,23,17,988

17,5,23,820

17,23,7,1142

23,17,7,1139

7,23,17,1313

