M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]
35,29,29,1087

29,29,35,1152

32,35,14,635

35,32,14,629

14,35,32,694

32,14,35,623

32,35,17,740

35,32,17,738

17,35,32,771

32,17,35,728

32,35,20,841

35,32,20,838

20,35,32,897

32,20,35,847

32,35,23,1005

35,32,23,984

23,35,32,1027

32,23,35,971

32,35,26,1109

35,32,26,1092

26,35,32,1105

32,26,35,1096

32,35,29,1199

35,32,29,1206

29,35,32,1228

32,29,35,1218

32,35,32,1301

35,32,32,1307

32,32,35,1341

35,35,14,705

14,35,35,788

35,14,35,664

35,35,17,811

17,35,35,870

35,17,35,801

35,35,20,913

20,35,35,1019

35,20,35,929

35,35,23,1093

23,35,35,1142

35,23,35,1075

35,35,26,1198

26,35,35,1223

35,26,35,1202

35,35,29,1317

29,35,35,1375

35,29,35,1334

35,35,32,1420

32,35,35,1464

35,32,35,1465

35,35,35,1618

14,38,14,384

38,14,14,322

14,14,38,383

17,38,14,419

38,17,14,374

14,38,17,431

17,14,38,396

17,38,17,482

38,17,17,444

17,17,38,471

20,38,14,482

38,20,14,443

14,38,20,487

20,14,38,457

20,38,17,557

38,20,17,512

17,38,20,543

20,17,38,549

20,38,20,634

38,20,20,583

20,20,38,635

23,38,14,546

38,23,14,504

14,38,23,578

23,14,38,519

23,38,17,633

38,23,17,584

17,38,23,636

23,17,38,616

23,38,20,709

38,23,20,664

20,38,23,745

23,20,38,721

23,38,23,850

38,23,23,783

23,23,38,820

26,38,14,582

38,26,14,562

14,38,26,638

26,14,38,547

26,38,17,673

38,26,17,657

17,38,26,709

26,17,38,666

26,38,20,774

38,26,20,745

20,38,26,818

26,20,38,766

26,38,23,909

38,26,23,881

23,38,26,932

26,23,38,893

26,38,26,1004

38,26,26,975

26,26,38,991

29,38,14,645

38,29,14,620

14,38,29,695

29,14,38,618

29,38,17,756

38,29,17,729

17,38,29,776

29,17,38,737

29,38,20,848

38,29,20,840

20,38,29,896

29,20,38,854

29,38,23,1026

38,29,23,976

23,38,29,1034

29,23,38,976

29,38,26,1125

38,29,26,1077

26,38,29,1109

29,26,38,1101

29,38,29,1219

38,29,29,1201

29,29,38,1232

32,38,14,686

38,32,14,685

14,38,32,755

32,14,38,655

32,38,17,805

38,32,17,800

17,38,32,835

32,17,38,785

32,38,20,915

38,32,20,911

20,38,32,968

32,20,38,911

32,38,23,1086

38,32,23,1070

23,38,32,1113

32,23,38,1044

32,38,26,1188

38,32,26,1203

26,38,32,1186

32,26,38,1167

32,38,29,1313

38,32,29,1311

29,38,32,1328

32,29,38,1313

32,38,32,1411

38,32,32,1425

32,32,38,1441

35,38,14,764

38,35,14,752

14,38,35,847

35,14,38,714

35,38,17,875

38,35,17,874

17,38,35,932

35,17,38,854

35,38,20,987

38,35,20,1005

20,38,35,1080

35,20,38,1008

35,38,23,1167

38,35,23,1182

23,38,35,1244

35,23,38,1137

35,38,26,1290

38,35,26,1308

26,38,35,1332

35,26,38,1288

35,38,29,1430

38,35,29,1431

29,38,35,1485

35,29,38,1427

35,38,32,1544

38,35,32,1543

32,38,35,1579

35,32,38,1568

35,38,35,1722

38,35,35,1731

35,35,38,1711

38,38,14,821

14,38,38,916

38,14,38,777

38,38,17,944

17,38,38,1015

38,17,38,923

38,38,20,1079

20,38,38,1162

38,20,38,1098

38,38,23,1276

23,38,38,1330

38,23,38,1228

38,38,26,1415

26,38,38,1424

38,26,38,1391

38,38,29,1551

29,38,38,1589

38,29,38,1552

38,38,32,1682

32,38,38,1694

38,32,38,1709

38,38,35,1878

35,38,38,1846

38,35,38,1856

38,38,38,2010

17,41,17,513

41,17,17,458

17,17,41,504

20,41,17,606

41,20,17,540

17,41,20,582

20,17,41,582

20,41,20,680

41,20,20,613

20,20,41,675

23,41,17,685

41,23,17,615

17,41,23,692

23,17,41,661

23,41,20,774

41,23,20,694

20,41,23,799

23,20,41,768

23,41,23,912

41,23,23,818

23,23,41,872

26,41,17,734

